Student_ID,Student_Name,Gender,Placed,GATE_Score,Salary,Should_Do_Masters
S0001,Kunal,Male,No,Good,796246,Yes
S0002,Harsh,Male,No,Good,329709,No
S0003,Aman,Female,Yes,Poor,1348939,Yes
S0004,Ananya,Male,Yes,Poor,794829,No
S0005,Kunal,Male,Yes,Poor,696456,No
S0006,Nikhil,Male,No,Good,345689,Yes
S0007,Aman,Female,No,Good,1198704,Yes
S0008,Aman,Female,No,Poor,475037,Yes
S0009,Isha,Male,No,Average,508606,No
S0010,Ananya,Female,No,Poor,1349458,No
S0011,Rahul,Female,Yes,Poor,1079110,No
S0012,Neha,Male,No,Poor,1474441,No
S0013,Shreya,Male,Yes,Poor,1329516,Yes
S0014,Simran,Female,No,Good,328885,No
S0015,Neha,Male,No,Average,696419,No
S0016,Aryan,Female,Yes,Poor,1015601,Yes
S0017,Shreya,Female,Yes,Average,695460,No
S0018,Shreya,Female,No,Average,660466,No
S0019,Soham,Female,No,Average,1332833,Yes
S0020,Tina,Female,No,Poor,321584,No
S0021,Priya,Female,No,Good,1119973,No
S0022,Harsh,Male,Yes,Poor,853351,No
S0023,Harsh,Male,No,Average,1418844,No
S0024,Nikhil,Female,Yes,Average,1080594,Yes
S0025,Shreya,Female,No,Good,470824,No
S0026,Rahul,Female,Yes,Poor,1050593,Yes
S0027,Manav,Male,Yes,Average,900699,No
S0028,Nikhil,Female,No,Good,1458452,Yes
S0029,Kunal,Male,Yes,Average,984500,Yes
S0030,Vishal,Female,No,Good,964687,Yes
S0031,Kunal,Female,Yes,Good,1288167,No
S0032,Kiara,Male,No,Poor,323331,No
S0033,Isha,Male,Yes,Average,323004,No
S0034,Diya,Female,No,Poor,1205675,Yes
S0035,Kiara,Female,No,Average,748013,No
S0036,Vishal,Female,Yes,Poor,489167,No
S0037,Neha,Male,Yes,Average,1231253,No
S0038,Harsh,Male,Yes,Poor,582260,No
S0039,Kunal,Male,Yes,Good,842955,Yes
S0040,Shreya,Male,No,Average,1375878,Yes
S0041,Ananya,Male,Yes,Average,896822,No
S0042,Harsh,Male,No,Good,1362016,No
S0043,Rahul,Female,Yes,Poor,673145,No
S0044,Diya,Female,No,Average,694485,Yes
S0045,Soham,Male,No,Average,1094300,No
S0046,Isha,Female,No,Poor,985611,Yes
S0047,Kiara,Female,No,Good,640053,Yes
S0048,Ananya,Male,Yes,Poor,994089,No
S0049,Isha,Female,Yes,Poor,840022,No
S0050,Neha,Male,No,Poor,645744,No
S0051,Simran,Male,Yes,Average,807173,Yes
S0052,Tina,Female,Yes,Good,964471,Yes
S0053,Isha,Male,No,Good,732184,No
S0054,Kiara,Male,Yes,Poor,539654,Yes
S0055,Shreya,Male,Yes,Average,727991,No
S0056,Neha,Male,Yes,Poor,1110935,No
S0057,Tina,Male,No,Average,958139,Yes
S0058,Isha,Male,Yes,Average,1173272,Yes
S0059,Diya,Male,No,Average,1480403,Yes
S0060,Priya,Male,Yes,Average,601407,Yes
S0061,Harsh,Female,Yes,Good,617231,No
S0062,Ananya,Female,Yes,Average,875770,No
S0063,Diya,Female,No,Average,422989,No
S0064,Ananya,Male,No,Poor,1126547,Yes
S0065,Priya,Male,Yes,Poor,576393,No
S0066,Raj,Female,No,Good,1264329,Yes
S0067,Kiara,Female,Yes,Poor,934649,Yes
S0068,Harsh,Female,No,Average,599850,Yes
S0069,Raj,Male,No,Poor,341139,No
S0070,Vishal,Female,Yes,Good,939207,Yes
S0071,Harsh,Female,Yes,Poor,1071965,Yes
S0072,Raj,Male,Yes,Poor,603446,Yes
S0073,Aryan,Female,Yes,Good,1285663,Yes
S0074,Kunal,Male,No,Good,964006,Yes
S0075,Vishal,Male,No,Average,1345716,Yes
S0076,Aryan,Male,No,Poor,1164785,Yes
S0077,Shreya,Female,Yes,Average,1137860,Yes
S0078,Ananya,Female,Yes,Poor,357939,Yes
